"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1","refugee_status",NA,"refugee",0.796482412060302,NA,0.756902622294943,0.83606220182566,NA,NA
"hh1","refugee_status",NA,"non_refugee",0.817708333333333,NA,0.779067813701948,0.856348852964718,NA,NA
"hh1_i","refugee_status",NA,"refugee",0.218592964824121,NA,0.177963494243203,0.259222435405038,NA,NA
"hh1_i","refugee_status",NA,"non_refugee",0.2421875,NA,0.199311221535538,0.285063778464462,NA,NA
"hh1_ii","refugee_status",NA,"refugee",0.781407035175879,NA,0.740777564594962,0.822036505756797,NA,NA
"hh1_ii","refugee_status",NA,"non_refugee",0.7578125,NA,0.714936221535537,0.800688778464463,NA,NA
"hh3","refugee_status",NA,"refugee",0.389447236180905,NA,0.341510293918505,0.437384178443304,NA,NA
"hh3","refugee_status",NA,"non_refugee",0.549479166666667,NA,0.499683288778276,0.599275044555057,NA,NA
"hh4","refugee_status",NA,"refugee",0.0125628140703518,NA,0.00161360824355726,0.0235120198971463,NA,NA
"hh4","refugee_status",NA,"non_refugee",0.015625,NA,0.00321274643104857,0.0280372535689514,NA,NA
"hh2_i","refugee_status",NA,"refugee",0.0452261306532663,NA,0.0247979639443739,0.0656542973621588,NA,NA
"hh2_i","refugee_status",NA,"non_refugee",0.0963541666666667,NA,0.066822040612277,0.125886292721056,NA,NA
"average_hh_size","refugee_status",NA,"refugee",7,NA,7,7,NA,NA
"average_hh_size","refugee_status",NA,"non_refugee",7,NA,7,7,NA,NA
"per_female","refugee_status",NA,"refugee",52.2537688442211,NA,50.5341173661313,53.9734203223109,NA,NA
"per_female","refugee_status",NA,"non_refugee",50.3411458333333,NA,48.7115098486726,51.9707818179941,NA,NA
"per_male","refugee_status",NA,"refugee",47.7462311557789,NA,46.0265796776891,49.4658826338687,NA,NA
"per_male","refugee_status",NA,"non_refugee",49.6588541666667,NA,48.0292181820059,51.2884901513274,NA,NA
"per_children","refugee_status",NA,"refugee",54.821608040201,NA,53.1495442214543,56.4936718589477,NA,NA
"per_children","refugee_status",NA,"non_refugee",55.7083333333333,NA,53.9231495303142,57.4935171363525,NA,NA
"per_adults","refugee_status",NA,"refugee",45.178391959799,NA,43.5063281410523,46.8504557785457,NA,NA
"per_adults","refugee_status",NA,"non_refugee",44.2916666666667,NA,42.5064828636475,46.0768504696858,NA,NA
"hh5","refugee_status",NA,"refugee",0.296482412060302,NA,0.251584957681565,0.341379866439038,NA,NA
"hh5","refugee_status",NA,"non_refugee",0.360313315926893,NA,0.312201612789867,0.408425019063919,NA,NA
"pwd","refugee_status",NA,"refugee",0.311557788944724,NA,0.266028856569862,0.357086721319586,NA,NA
"pwd","refugee_status",NA,"non_refugee",0.221354166666667,NA,0.179803865971082,0.262904467362252,NA,NA
"displaced_escalation","refugee_status",NA,"refugee",0.50251256281407,NA,0.453359686654987,0.551665438973153,NA,NA
"displaced_escalation","refugee_status",NA,"non_refugee",0.567708333333333,NA,0.518127775939045,0.617288890727621,NA,NA
"hh6_i","refugee_status",NA,"refugee",0.618090452261307,NA,0.570327552016398,0.665853352506215,NA,NA
"hh6_i","refugee_status",NA,"non_refugee",0.630208333333333,NA,0.58189344621057,0.678523220456096,NA,NA
"hh6_ii","refugee_status",NA,"refugee",0.329145728643216,NA,0.282950978653334,0.375340478633098,NA,NA
"hh6_ii","refugee_status",NA,"non_refugee",0.268229166666667,NA,0.223888636007434,0.312569697325899,NA,NA
"hh6_iii","refugee_status",NA,"refugee",0.050251256281407,NA,0.0287748188908593,0.0717276936719548,NA,NA
"hh6_iii","refugee_status",NA,"non_refugee",0.0677083333333333,NA,0.0425630055440079,0.0928536611226588,NA,NA
"hh6_iv","refugee_status",NA,"refugee",0.00251256281407035,NA,-0.00240892705997197,0.00743405268811267,NA,NA
"hh6_iv","refugee_status",NA,"non_refugee",0.0260416666666667,NA,0.0101025255682815,0.0419808077650518,NA,NA
"hh6_v","refugee_status",NA,"refugee",0,NA,0,0,NA,NA
