"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1","hhh_gender",NA,"Male",0.804676753782669,NA,0.775839995335494,0.833513512229843,NA,NA
"hh1","hhh_gender",NA,"Female",0.836363636363636,NA,0.738531376193686,0.934195896533586,NA,NA
"hh1_i","hhh_gender",NA,"Male",0.178817056396149,NA,0.150944090973409,0.206690021818889,NA,NA
"hh1_i","hhh_gender",NA,"Female",0.909090909090909,NA,0.833066698249663,0.985115119932155,NA,NA
"hh1_ii","hhh_gender",NA,"Male",0.821182943603851,NA,0.793309978181111,0.849055909026591,NA,NA
"hh1_ii","hhh_gender",NA,"Female",0.0909090909090909,NA,0.0148848800678446,0.166933301750337,NA,NA
"hh3","hhh_gender",NA,"Male",0.481430536451169,NA,0.445086845432652,0.517774227469687,NA,NA
"hh3","hhh_gender",NA,"Female",0.290909090909091,NA,0.170800461483268,0.411017720334913,NA,NA
"hh4","hhh_gender",NA,"Male",0.0123796423658872,NA,0.00433683233010351,0.0204224524016709,NA,NA
"hh4","hhh_gender",NA,"Female",0.0363636363636364,NA,-0.0131397432061519,0.0858670159334247,NA,NA
"hh2_i","hhh_gender",NA,"Male",0,NA,0,0,NA,NA
"hh2_i","hhh_gender",NA,"Female",1,NA,1,1,NA,NA
"average_hh_size","hhh_gender",NA,"Male",7,NA,7,7,NA,NA
"average_hh_size","hhh_gender",NA,"Female",7,NA,7,7,NA,NA
"per_female","hhh_gender",NA,"Male",50.888583218707,NA,49.6698556591278,52.1073107782862,NA,NA
"per_female","hhh_gender",NA,"Female",56.9454545454545,NA,52.1162808186729,61.7746282722362,NA,NA
"per_male","hhh_gender",NA,"Male",49.111416781293,NA,47.8926892217138,50.3301443408722,NA,NA
"per_male","hhh_gender",NA,"Female",43.0545454545455,NA,38.2253717277638,47.8837191813271,NA,NA
"per_children","hhh_gender",NA,"Male",55.6011004126547,NA,54.3901895760474,56.8120112492621,NA,NA
"per_children","hhh_gender",NA,"Female",50.7090909090909,NA,44.0611590193152,57.3570227988666,NA,NA
"per_adults","hhh_gender",NA,"Male",44.3988995873453,NA,43.1879887507379,45.6098104239526,NA,NA
