"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hh1_i",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hh1_ii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"hh3",NA,NA,NA,0.468030690537084,NA,0.433035929760487,0.503025451313682,NA,NA
"hh4",NA,NA,NA,0.0140664961636829,NA,0.00580727011416949,0.0223257222131962,NA,NA
"hh2_i",NA,NA,NA,NA,NA,NA,NA,NA,NA
"average_hh_size",NA,NA,NA,7,NA,7,7,NA,NA
"per_female",NA,NA,NA,51.3145780051151,NA,50.1267758485485,52.5023801616816,NA,NA
"per_male",NA,NA,NA,48.6854219948849,NA,47.4976198383184,49.8732241514515,NA,NA
"per_children",NA,NA,NA,55.2570332480818,NA,54.03489788988,56.4791686062836,NA,NA
"per_adults",NA,NA,NA,44.7429667519182,NA,43.5208313937164,45.96510211012,NA,NA
"hh5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"pwd_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"chronic_illness",NA,NA,NA,NA,NA,NA,NA,NA,NA
"displaced_escalation",NA,NA,NA,0.534526854219949,NA,0.499544047247552,0.569509661192346,NA,NA
"hh6_i",NA,NA,NA,0.624040920716113,NA,0.590070619544254,0.658011221887972,NA,NA
"hh6_ii",NA,NA,NA,0.29923273657289,NA,0.267117285296194,0.331348187849586,NA,NA
"hh6_iii",NA,NA,NA,0.0588235294117647,NA,0.042321641075755,0.0753254177477744,NA,NA
"hh6_iv",NA,NA,NA,0.0140664961636829,NA,0.00580727011416951,0.0223257222131962,NA,NA
"hh6_v",NA,NA,NA,0.00383631713554987,NA,-0.000499242628820238,0.00817187689991998,NA,NA
"hh7_i",NA,NA,NA,0.0933503836317136,NA,0.0729470858205262,0.113753681442901,NA,NA
"hh7_ii",NA,NA,NA,0.731457800511509,NA,0.700374760835065,0.762540840187953,NA,NA
"hh7_iii",NA,NA,NA,0.162404092071611,NA,0.136537552568224,0.188270631574999,NA,NA
"hh7_iv",NA,NA,NA,0.0127877237851662,NA,0.00490775547061762,0.0206676920997149,NA,NA
"hh8",NA,NA,NA,0.269922879177378,NA,0.238709427288601,0.301136331066155,NA,NA
"fear_eviction_why.lack_funds",NA,NA,NA,0.257142857142857,NA,0.197889244737228,0.316396469548487,NA,NA
"fear_eviction_why.no_longer_hosted",NA,NA,NA,0.247619047619048,NA,0.189101533509103,0.306136561728992,NA,NA
"fear_eviction_why.unaccepted_by_community",NA,NA,NA,0,NA,0,0,NA,NA
"fear_eviction_why.authorities_request",NA,NA,NA,0.019047619047619,NA,0.000515748446458346,0.0375794896487798,NA,NA
"fear_eviction_why.owner_request",NA,NA,NA,0.0476190476190476,NA,0.0187474609894543,0.0764906342486409,NA,NA
"fear_eviction_why.no_agreement",NA,NA,NA,0.00476190476190476,NA,-0.00457125706923835,0.0140950665930479,NA,NA
"fear_eviction_why.inadequate",NA,NA,NA,0.152380952380952,NA,0.103657209407687,0.201104695354217,NA,NA
"fear_eviction_why.dispute",NA,NA,NA,0.3,NA,0.237872397386998,0.362127602613002,NA,NA
"hh9",NA,NA,NA,0.79156010230179,NA,0.763072562318707,0.820047642284873,NA,NA
"food_unrwa",NA,NA,NA,0.491114701130856,NA,0.451700269057039,0.530529133204673,NA,NA
"cva_unrwa",NA,NA,NA,0.0113085621970921,NA,0.00297198193977753,0.0196451424544066,NA,NA
"cash_qatar",NA,NA,NA,0.381260096930533,NA,0.342967167364613,0.419553026496453,NA,NA
"food_ingo",NA,NA,NA,0.0113085621970921,NA,0.00297198193977748,0.0196451424544067,NA,NA
"food_wfp",NA,NA,NA,0.0775444264943457,NA,0.0564580538479837,0.0986307991407077,NA,NA
"cva_cbo",NA,NA,NA,0.00161550888529887,NA,-0.00155083034659134,0.00478184811718908,NA,NA
"cva_wfp",NA,NA,NA,0.0210016155088853,NA,0.0096965992133591,0.0323066318044115,NA,NA
"cva_gov",NA,NA,NA,0.00484652665589661,NA,-0.00062885236850956,0.0103219056803028,NA,NA
"amm1_i",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_ii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_iii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_iv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_v",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_vi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_vii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_viii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_ix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_xi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm1_xii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"amm2_i",NA,NA,NA,0.995907230559345,NA,0.991282242314255,1.00053221880444,NA,NA
"cash_barriers.insufficient_money",NA,NA,NA,0.995907230559345,NA,0.991282242314255,1.00053221880444,NA,NA
"cash_barriers.distance",NA,NA,NA,0.00409276944065484,NA,-0.000532218804435294,0.00871775768574498,NA,NA
"cash_barriers.security_situation",NA,NA,NA,0.00272851296043656,NA,-0.00105035974133581,0.00650738566220894,NA,NA
"cash_barriers.social_discrimination",NA,NA,NA,0,NA,0,0,NA,NA
"cash_barriers.insufficient_goods",NA,NA,NA,0.00272851296043656,NA,-0.00105035974133581,0.00650738566220894,NA,NA
"cash_barriers.poor_quality",NA,NA,NA,0.00136425648021828,NA,-0.00130963708668495,0.00403815004712152,NA,NA
"amm2_ii",NA,NA,NA,1,NA,1,1,NA,NA
"food_barriers.insufficient_money",NA,NA,NA,0.998305084745763,NA,0.99498311189061,1.00162705760092,NA,NA
"food_barriers.distance",NA,NA,NA,0.00169491525423729,NA,-0.00162705760091535,0.00501688810938992,NA,NA
"food_barriers.security_situation",NA,NA,NA,0,NA,0,0,NA,NA
"food_barriers.social_discrimination",NA,NA,NA,0.00338983050847458,NA,-0.00130415876525932,0.00808381978220848,NA,NA
"food_barriers.insufficient_goods",NA,NA,NA,0.00338983050847458,NA,-0.00130415876525932,0.00808381978220847,NA,NA
"food_barriers.poor_quality",NA,NA,NA,0,NA,0,0,NA,NA
"amm2_iii",NA,NA,NA,1,NA,1,1,NA,NA
"shelter_barriers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"shelter_barriers.insufficient_money",NA,NA,NA,0.996282527881041,NA,0.988996416414349,1.00356863934773,NA,NA
"shelter_barriers.distance",NA,NA,NA,0.00371747211895911,NA,-0.00356863934773256,0.0110035835856508,NA,NA
"shelter_barriers.security_situation",NA,NA,NA,0,NA,0,0,NA,NA
"shelter_barriers.social_discrimination",NA,NA,NA,0,NA,0,0,NA,NA
"shelter_barriers.insufficient_goods",NA,NA,NA,0.00371747211895911,NA,-0.00356863934773256,0.0110035835856508,NA,NA
"amm2_iv",NA,NA,NA,1,NA,1,1,NA,NA
"water_barriers",NA,NA,NA,NA,NA,NA,NA,NA,NA
"water_barriers.insufficient_money",NA,NA,NA,0.98159509202454,NA,0.960897320051016,1.00229286399806,NA,NA
"water_barriers.distance",NA,NA,NA,0.0184049079754601,NA,-0.00229286399806398,0.0391026799489842,NA,NA
"water_barriers.security_situation",NA,NA,NA,0,NA,0,0,NA,NA
"water_barriers.social_discrimination",NA,NA,NA,0,NA,0,0,NA,NA
"water_barriers.insufficient_goods",NA,NA,NA,0,NA,0,0,NA,NA
"amm2_v",NA,NA,NA,1,NA,1,1,NA,NA
"hygiene_barriers.insufficient_money",NA,NA,NA,0.997950819672131,NA,0.99393450003168,1.00196713931258,NA,NA
"hygiene_barriers.distance",NA,NA,NA,0.00204918032786885,NA,-0.00196713931258211,0.00606549996831982,NA,NA
"hygiene_barriers.security_situation",NA,NA,NA,0,NA,0,0,NA,NA
"hygiene_barriers.social_discrimination",NA,NA,NA,0,NA,0,0,NA,NA
